"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65"
1912,8.16609,7.54032,6.96251,6.42897,5.93632,5.48142,5.06138,4.67352,4.31538,3.98469,3.67933,3.39738,3.13704,2.89664,2.67467,2.46971,2.28046,2.10571,1.94435,1.79536,1.65778,1.53024,1.41298,1.3047,1.20472,1.1124,1.02715,0.948442,0.875762,0.808653,0.746687,0.689469,0.636636,0.587851,0.542805,0.50121,0.462803,0.427339,0.394592,0.364355,0.336435,0.310654,0.286849,0.264868,0.244572,0.22583,0.208525,0.192546,0.177792,0.164168,0.151588,0.139972,0.129246,0.119342,0.110197,0.101753,0.0939554,0.0867557,0.0801077,0.0739691,0.0683009,0.0630671,0.0582343,0.0537719,0.0496514,0.598295
1913,8.1661,7.54033,6.96252,6.42898,5.93633,5.48143,5.06138,4.67352,4.31539,3.98469,3.67934,3.39738,3.13704,2.89664,2.67467,2.46971,2.28046,2.10571,1.94435,1.79535,1.65778,1.53074,1.41298,1.3047,1.20472,1.1124,1.02716,0.948443,0.875762,0.808652,0.746686,0.689468,0.636634,0.58785,0.542804,0.501209,0.462802,0.427338,0.394592,0.364354,0.336434,0.310654,0.286849,0.264868,0.244571,0.22583,0.208525,0.192546,0.177791,0.164167,0.151587,0.139971,0.129246,0.119342,0.110197,0.101752,0.0939552,0.0867555,0.0801075,0.073969,0.0683008,0.063067,0.0582342,0.0537718,0.0496513,0.598294
1914,8.16611,7.54034,6.96252,6.42899,5.93633,5.48143,5.06139,4.67353,4.31539,3.9847,3.67934,3.39739,3.13704,2.89664,2.67467,2.46971,2.28046,2.1057,1.94434,1.79535,1.65777,1.53074,1.41344,1.3047,1.20472,1.1124,1.02716,0.948444,0.875763,0.808652,0.746684,0.689466,0.636633,0.587849,0.542802,0.501208,0.462801,0.427337,0.394591,0.364354,0.336434,0.310653,0.286848,0.264867,0.244571,0.22583,0.208524,0.192545,0.177791,0.164167,0.151587,0.139971,0.129245,0.119341,0.110196,0.101752,0.093955,0.0867553,0.0801073,0.0739688,0.0683007,0.0630669,0.0582341,0.0537717,0.0496512,0.598293
1915,8.16611,7.54035,6.96253,6.42899,5.93634,5.48144,5.06139,4.67354,4.3154,3.9847,3.67935,3.39739,3.13704,2.89665,2.67467,2.46971,2.28045,2.1057,1.94434,1.79535,1.65777,1.53074,1.41344,1.30513,1.20472,1.1124,1.02716,0.948446,0.875764,0.808652,0.746684,0.689465,0.636632,0.587847,0.542801,0.501207,0.4628,0.427336,0.39459,0.364353,0.336433,0.310652,0.286847,0.264867,0.24457,0.225829,0.208524,0.192545,0.177791,0.164167,0.151587,0.139971,0.129245,0.119341,0.110196,0.101752,0.0939548,0.0867551,0.0801072,0.0739686,0.0683005,0.0630667,0.058234,0.0537716,0.0496511,0.598291
1916,8.16612,7.54035,6.96254,6.429,5.93635,5.48145,5.0614,4.67354,4.3154,3.9847,3.67935,3.39739,3.13704,2.89665,2.67467,2.46971,2.28045,2.1057,1.94434,1.79534,1.65777,1.53073,1.41344,1.30513,1.20512,1.1124,1.02716,0.948446,0.875765,0.808653,0.746684,0.689465,0.636631,0.587846,0.5428,0.501206,0.462799,0.427335,0.394589,0.364352,0.336432,0.310652,0.286847,0.264866,0.24457,0.225829,0.208524,0.192545,0.17779,0.164166,0.151586,0.13997,0.129245,0.119341,0.110196,0.101752,0.0939546,0.0867549,0.080107,0.0739685,0.0683003,0.0630666,0.0582338,0.0537714,0.049651,0.59829
1917,8.16613,7.54036,6.96254,6.42901,5.93635,5.48145,5.06141,4.67355,4.31541,3.98471,3.67935,3.3974,3.13705,2.89665,2.67467,2.46971,2.28045,2.1057,1.94434,1.79534,1.65777,1.53073,1.41343,1.30512,1.20511,1.11277,1.02716,0.948445,0.875765,0.808654,0.746685,0.689465,0.63663,0.587845,0.542799,0.501205,0.462798,0.427334,0.394588,0.364351,0.336431,0.310651,0.286846,0.264865,0.244569,0.225828,0.208523,0.192544,0.17779,0.164166,0.151586,0.13997,0.129244,0.119341,0.110196,0.101751,0.0939543,0.0867547,0.0801068,0.0739683,0.0683002,0.0630664,0.0582337,0.0537713,0.0496509,0.598288
1918,8.16613,7.54037,6.96255,6.42901,5.93636,5.48146,5.06141,4.67355,4.31541,3.98471,3.67936,3.3974,3.13705,2.89665,2.67468,2.46971,2.28045,2.1057,1.94434,1.79534,1.65776,1.53073,1.41343,1.30512,1.20511,1.11276,1.02749,0.948443,0.875764,0.808654,0.746686,0.689466,0.636631,0.587845,0.542798,0.501203,0.462797,0.427333,0.394587,0.36435,0.33643,0.31065,0.286845,0.264865,0.244568,0.225827,0.208522,0.192544,0.177789,0.164165,0.151586,0.13997,0.129244,0.11934,0.110195,0.101751,0.0939541,0.0867545,0.0801066,0.0739681,0.0683,0.0630662,0.0582336,0.0537712,0.0496508,0.598287
1919,8.16614,7.54037,6.96256,6.42902,5.93636,5.48146,5.06142,4.67356,4.31541,3.98472,3.67936,3.3974,3.13705,2.89665,2.67468,2.46971,2.28045,2.1057,1.94434,1.79534,1.65776,1.53073,1.41343,1.30512,1.20511,1.11276,1.02749,0.948755,0.875762,0.808653,0.746686,0.689467,0.636631,0.587845,0.542797,0.501202,0.462795,0.427332,0.394586,0.364349,0.336429,0.310649,0.286845,0.264864,0.244568,0.225827,0.208522,0.192543,0.177789,0.164165,0.151585,0.139969,0.129244,0.11934,0.110195,0.101751,0.0939538,0.0867542,0.0801064,0.0739679,0.0682998,0.0630661,0.0582334,0.053771,0.0496506,0.598285
1920,8.16614,7.54038,6.96256,6.42902,5.93637,5.48147,5.06142,4.67356,4.31542,3.98472,3.67936,3.3974,3.13705,2.89665,2.67468,2.46971,2.28045,2.1057,1.94434,1.79534,1.65776,1.53072,1.41342,1.30511,1.2051,1.11276,1.02749,0.948752,0.87605,0.808651,0.746685,0.689466,0.636632,0.587845,0.542797,0.501202,0.462794,0.427331,0.394585,0.364348,0.336429,0.310648,0.286844,0.264863,0.244567,0.225826,0.208521,0.192543,0.177788,0.164165,0.151585,0.139969,0.129243,0.11934,0.110195,0.101751,0.0939536,0.086754,0.0801061,0.0739677,0.0682996,0.0630659,0.0582332,0.0537709,0.0496505,0.598284
1921,8.16615,7.54038,6.96257,6.42903,5.93637,5.48147,5.06143,4.67356,4.31542,3.98472,3.67936,3.39741,3.13706,2.89666,2.67468,2.46971,2.28045,2.1057,1.94434,1.79534,1.65776,1.53072,1.41342,1.30511,1.2051,1.11275,1.02748,0.948749,0.876048,0.808917,0.746683,0.689465,0.636631,0.587846,0.542798,0.501202,0.462794,0.42733,0.394584,0.364347,0.336428,0.310647,0.286843,0.264862,0.244566,0.225825,0.208521,0.192542,0.177788,0.164164,0.151584,0.139969,0.129243,0.119339,0.110194,0.10175,0.0939533,0.0867537,0.0801059,0.0739675,0.0682994,0.0630657,0.0582331,0.0537707,0.0496503,0.598282
